slug,name,font_type,merchant_block_position,logo_placement,divider_style,total_divider_style,total_emphasis,layout_signature,money_row_order,quantity_column,barcode_placement,number_format,background_type,header_alignment,section_count
CrateandBarrel-Receipt,Crate&Barrel Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,EMPTY,NONE,HEADER|DATE|ITEMS|CUSTOM|CUSTOM,ITEM>TOTAL,ABSENT,NONE,LEFT,CRUMPLED_1,LEFT,5
Cream-Stone-Receipt,Cream Stone Receipt,MERCHANT_COPY,TOP,TOP,EQUALS,NONE,NONE,HEADER|CUSTOM|CUSTOM|ITEMS|CUSTOM|PAYMENT|CUSTOM|CUSTOM|CUSTOM,ITEM>TOTAL,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,9
Credit-Card-Receipt,Credit Card Receipt,MERCHANT_COPY,MIDDLE,MIDDLE,EMPTY,NONE,PERCENT_20,DATE|HEADER|CUSTOM|CUSTOM|ITEMS|PAYMENT|BARCODE|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,8
Creperie-Bretonne-Receipt,Creperie Bretonne Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM,ITEM>TOTAL,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,3
Cub-Receipt,Cub Receipt,MERCHANT_COPY,TOP,TOP,NONE,DASHES,NONE,HEADER|ITEMS|ITEMS|ITEMS,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Culver's-Receipt,Culver’s Receipt,MERCHANT_COPY,TOP,NONE,EMPTY,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|CUSTOM|CUSTOM|CUSTOM,NONE,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,7
Cumberland-Farms-Receipt,Cumberland Farms Receipt,MERCHANT_COPY,TOP,NONE,DASHES,NONE,NONE,HEADER|CUSTOM|PAYMENT|PAYMENT|PAYMENT|CUSTOM|CUSTOM|CUSTOM|CUSTOM,ITEM>SUBTOTAL>TOTAL,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,9
Currys-PC-World-Receipt,Currys PC World Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM|ITEMS|BARCODE|CUSTOM|CUSTOM,ITEM,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,7
Custom-Receipt-Template,Custom Receipt Template,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|BARCODE|DATE|ITEMS|PAYMENT|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,6
Cynibel-Supermarket-Receipt,Cynibel Supermarket Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|DATE|RESTAURANT|ITEMS|PAYMENT|CUSTOM|BARCODE,ITEM>SUBTOTAL>TOTAL>TENDER>CHANGE,PRESENT,BOTTOM,LEFT,CRUMPLED_1,LEFT,7
DICK'S-Receipt,DICK’S Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|CUSTOM|CUSTOM|PAYMENT,SUBTOTAL>TAX>TOTAL,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,7
DISHOOM-receipt,DISHOOM receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,4
DNA-Sports-Receipt,DNA Sports Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|CUSTOM|ITEMS|ITEMS,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,LEFT,4
DSW-Receipt,DSW Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|CUSTOM|ITEMS|ITEMS|CUSTOM|BARCODE|CUSTOM,ITEM,ABSENT,MIDDLE,LEFT,CRUMPLED_1,LEFT,7
Dairy-Queen-Grill-and-Chill-Receipt,Dairy Queen Grill & Chill Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|CUSTOM|ITEMS|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL,ABSENT,NONE,LEFT,CRUMPLED_1,LEFT,4
Daycare-Receipt,Daycare Receipt,MERCHANT_COPY,TOP,TOP,COLONS,NONE,NONE,HEADER|CUSTOM|CUSTOM|ITEMS|PAYMENT|BARCODE|CUSTOM,ITEM>TOTAL>TENDER>META>AUTH,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,7
Dealz-Receipt,Dealz Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM|BARCODE|ITEMS,ITEM,ABSENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,5
Decathlon-Retail-Receipt,Decathlon Retail Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM|BARCODE|CUSTOM,ITEM,ABSENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,5
Defune-Receipt,Defune Receipt,MERCHANT_COPY,TOP,NONE,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Del-Taco-Receipt,Del Taco Receipt,MERCHANT_COPY,TOP,NONE,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM|CUSTOM|ITEMS|CUSTOM|CUSTOM|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,9
Deliveroo-Delivery-Receipt,Deliveroo Delivery Receipt,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|CUSTOM|ITEMS|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,5
Delivery-Receipt,Delivery Receipt,MERCHANT_COPY,TOP,TOP,STARS,STARS,NONE,HEADER|DATE|CUSTOM|CUSTOM|ITEMS|PAYMENT|CUSTOM|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,BOTTOM,LEFT,CRUMPLED_1,CENTER,8
Denner-Receipt,Denner Receipt,MERCHANT_COPY,TOP,TOP,NONE,DASHES,NONE,HEADER|ITEMS|ITEMS|CUSTOM|BARCODE|CUSTOM,ITEM,ABSENT,MIDDLE,LEFT,CRUMPLED_1,LEFT,6
Denny's-PickUp-Receipt,Denny’s PickUp Receipt ,MERCHANT_COPY,TOP,TOP,EMPTY,EMPTY,NONE,HEADER|DATE|ITEMS|PAYMENT,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Denny's-Restaurant-Receipt, Denny’s Restaurant Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,EMPTY,NONE,HEADER|DATE|ITEMS|PAYMENT,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Dental-Receipt,Dental Receipt,MERCHANT_COPY,TOP,TOP,COLONS,EQUALS,NONE,HEADER|DATE|CUSTOM|CUSTOM|ITEMS|PAYMENT|CUSTOM|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,BOTTOM,LEFT,CRUMPLED_1,CENTER,8
Dentist-Receipt,Dentist Receipt,MERCHANT_COPY,TOP,TOP,EQUALS,NONE,PERCENT_20,HEADER|CUSTOM|CUSTOM|CUSTOM|ITEMS|PAYMENT|BARCODE|CUSTOM|DATE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,9
Dick's-Sporting-Goods-Receipt,Dick’s Sporting Goods Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,EMPTY,NONE,HEADER|DATE|CUSTOM|ITEMS|CUSTOM|BARCODE,ITEM>TOTAL>SUBTOTAL>TAX,ABSENT,BOTTOM,LEFT,CRUMPLED_1,CENTER,6
Dillons-Receipt,Dillons Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|ITEMS|ITEMS|CUSTOM|ITEMS|CUSTOM|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,8
Dior-Receipt,Dior Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,PERCENT_10,HEADER|CUSTOM|ITEMS|PAYMENT|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,5
Dior-example-with-Womens-Shoe-and-2-more-items-totalling-1297-dollars-50-cents,"Dior example with Womens Shoe and 2 more items totalling 1,297 dollars 50 cents",MERCHANT_COPY,TOP,TOP,EMPTY,NONE,PERCENT_10,HEADER|CUSTOM|ITEMS|PAYMENT|CUSTOM|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,BOTTOM,LEFT,CRUMPLED_1,CENTER,6
Doctor-Receipt,Doctor Receipt,MERCHANT_COPY,TOP,TOP,COLONS,NONE,PERCENT_50,HEADER|CUSTOM|CUSTOM|CUSTOM|CUSTOM|ITEMS|PAYMENT|CUSTOM|BARCODE|DATE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,10
Dollar-General-Receipt,Dollar General Receipt,MERCHANT_COPY,TOP,NONE,EMPTY,EMPTY,NONE,HEADER|ITEMS|PAYMENT|BARCODE|CUSTOM|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,6
Dollar-Tree-Receipt,Dollar Tree Receipt,RECEIPTIONAL_RECEIPT,TOP,TOP,EQUALS,DASHES,NONE,HEADER|DATE|ITEMS|PAYMENT|CUSTOM,ITEM>SUBTOTAL>TOTAL>TENDER,PRESENT,NONE,UNSET,CRUMPLED_1,CENTER,5
Dollar-Tree-receipt-example-with-Colgate-Total-Whitning-Tpst-Colgate-Charcoal-Toothbrush-and-4-more-items-totalling-6-dollars-39-cents,"Dollar Tree receipt example with Colgate Total Whitning Tpst, Colgate Charcoal Toothbrush and 4 more items totalling 6 dollars 39 cents",MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|DATE|ITEMS|PAYMENT|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,BOTTOM,UNSET,UNSET,CENTER,5
Dollar-Tree-receipt,Dollar Tree receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|DATE|ITEMS|PAYMENT|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,BOTTOM,UNSET,UNSET,CENTER,5
Dollarama-Receipt,Dollarama Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Domino's-Pizza-Receipt,Domino's Pizza Receipt,MERCHANT_COPY,TOP,NONE,NONE,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|CUSTOM|CUSTOM|ITEMS|CUSTOM|ITEMS|CUSTOM|ITEMS,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,11
Donation-Receipt,Donation Receipt,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|DATE|CUSTOM|CUSTOM|ITEMS|PAYMENT|BARCODE,ITEM>TOTAL>TENDER>META>AUTH,PRESENT,BOTTOM,LEFT,CRUMPLED_1,CENTER,7
DoorDash-Receipt,DoorDash Receipt,FAKE_RECEIPT,TOP,TOP,DASHES,DASHES,NONE,HEADER|DATE|ITEMS|CUSTOM|BARCODE,ITEM>SUBTOTAL>TIP>TOTAL,PRESENT,BOTTOM,UNSET,UNSET,CENTER,5
Douglas-Pharmacy-Receipt,Douglas Pharmacy Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Dragut-Kebab-Spain-Receipt,Dragut Kebab Spain Receipt,MERCHANT_COPY,TOP,NONE,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|CUSTOM,ITEM>TOTAL,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Duck-and-Waffle-Receipt,Duck & Waffle Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|CUSTOM|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,6
Dunelm-Receipt,Dunelm Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|CUSTOM|ITEMS|ITEMS|BARCODE|CUSTOM|CUSTOM|CUSTOM,ITEM,ABSENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,8
Dunkin'-Donuts-Receipt,Dunkin’ Donuts Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|CUSTOM|ITEMS|CUSTOM,ITEM>TENDER>TOTAL,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Dunkin'-UK-Receipt,Dunkin' UK Receipt,MERCHANT_COPY,TOP,NONE,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM|ITEMS|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,6
E.Leclerc-France-Receipt,E.Leclerc France Receipt,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|BARCODE|CUSTOM|CUSTOM,NONE,NO_ITEMS,MIDDLE,LEFT,CRUMPLED_1,CENTER,7
ESTG-Grill-and-Bistro-Receipt,ESTG Grill & Bistro Receipt,UNSET,TOP,TOP,DASHES,NONE,NONE,HEADER|CUSTOM|PAYMENT|CUSTOM|PAYMENT|CUSTOM,META>ITEM>SUBTOTAL>TAX>TOTAL,NO_ITEMS,NONE,UNSET,UNSET,CENTER,6
Earls-Ambleside-Beach-Receipt,Earls Ambleside Beach Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|CUSTOM|ITEMS|ITEMS|CUSTOM|CUSTOM,ITEM,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,6
East-Side-Mario's-Receipt,East Side Mario's Receipt,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|CUSTOM|CUSTOM|ITEMS|CUSTOM,ITEM,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,5
Einstein-Bros-Bagels-Receipt,Einstein Bros Bagels Receipt,MERCHANT_COPY,TOP,NONE,DASHES,NONE,NONE,HEADER|CUSTOM|ITEMS|CUSTOM|ITEMS|CUSTOM|ITEMS|CUSTOM|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,10
El-Alma-Cafe-y-Cantina-Receipt,El Alma Cafe y Cantina Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|PAYMENT|CUSTOM,META>ITEM>SUBTOTAL>TAX>TOTAL,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,3
El-Jimador-Receipt,El Jimador Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,3
El-Pollo-Loco-Receipt,El Pollo Loco Receipt,UNSET,TOP,TOP,DASHES,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|PAYMENT|BARCODE,ITEM>SUBTOTAL>TAX>TENDER>CHANGE,NO_ITEMS,BOTTOM,UNSET,UNSET,CENTER,6
El-Rincon-De-Amador-Restaurant-Receipt,El Rincon De Amador Restaurant Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,PERCENT_20,HEADER|RESTAURANT|ITEMS|PAYMENT|CUSTOM,ITEM>TOTAL,PRESENT,NONE,LEFT,CRUMPLED_1,LEFT,5
El-Super-Receipt,El Super Receipt,MERCHANT_COPY,TOP,TOP,NONE,DASHES,NONE,HEADER|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,3
El-Taco-Veloz-Receipt,El Taco Veloz Receipt,MERCHANT_COPY,TOP,NONE,NONE,NONE,NONE,HEADER|CUSTOM|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Electrician-Receipt,Electrician Receipt,MERCHANT_COPY,TOP,TOP,COLONS,DASHES,NONE,HEADER|BARCODE|CUSTOM|CUSTOM|CUSTOM|ITEMS|PAYMENT|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,8
Elliot's-Woodfired-Kitchen-and-Tap-Receipt,Elliot's Woodfired Kitchen & Tap Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM,ITEM,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,3
Equipment-Rental-Receipt,Equipment Rental Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,COLONS,NONE,HEADER|BARCODE|CUSTOM|CUSTOM|ITEMS|PAYMENT|CUSTOM|DATE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,8
Eric-Kayser-Receipt,Eric Kayser Receipt,MERCHANT_COPY,TOP,NONE,NONE,DASHES,NONE,HEADER|CUSTOM|ITEMS|ITEMS|ITEMS|ITEMS|CUSTOM,ITEM,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,7
Eurospin-Italy-Receipt,Eurospin Italy Receipt,MERCHANT_COPY,TOP,TOP,NONE,DASHES,NONE,HEADER|ITEMS|ITEMS|CUSTOM|ITEMS|CUSTOM|BARCODE|CUSTOM,ITEM,ABSENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,8
FNAC-Tours-Retail-Receipt,FNAC Tours Retail Receipt,MERCHANT_COPY,TOP,NONE,NONE,NONE,NONE,HEADER|CUSTOM|ITEMS|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,5
Fairway-Market-Receipt,Fairway Market Receipt,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|CUSTOM|ITEMS|ITEMS|ITEMS|CUSTOM|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,7
Family-Dollar-Receipt,Family Dollar Receipt,MERCHANT_COPY,TOP,NONE,EMPTY,EMPTY,NONE,HEADER|ITEMS|PAYMENT|BARCODE|CUSTOM|CUSTOM|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,7
Farley's-Receipt,Farley's Receipt,UNSET,TOP,TOP,NONE,NONE,NONE,HEADER|PAYMENT|CUSTOM|CUSTOM|PAYMENT|CUSTOM,META>ITEM>SUBTOTAL>TOTAL,NO_ITEMS,NONE,UNSET,UNSET,CENTER,6
Farm-Boy-Country-Market-Receipt,Farm Boy Country Market Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|CUSTOM|PAYMENT|PAYMENT|PAYMENT|CUSTOM|CUSTOM,ITEM>TENDER>SUBTOTAL>TAX>TOTAL>CHANGE,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,7
FarmSudz-Receipt,FarmSudz Receipt,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|CUSTOM|CUSTOM|PAYMENT|PAYMENT|CUSTOM|CUSTOM|BARCODE,TENDER>TOTAL>ITEM,NO_ITEMS,BOTTOM,LEFT,CRUMPLED_1,LEFT,8
Farmacia-Savia-Receipt,Farmacia Savia Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|DATE|CUSTOM|CUSTOM|CUSTOM|CUSTOM,NONE,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,6
Farmavalue-Receipt,Farmavalue Receipt,MERCHANT_COPY,TOP,NONE,DASHES,DASHES,NONE,HEADER|ITEMS|CUSTOM|ITEMS|ITEMS|CUSTOM|CUSTOM|CUSTOM|ITEMS,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,9
Farmers-Market-Receipt,Farmers Market Receipt,MERCHANT_COPY,TOP,NONE,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Fastenal-Receipt,Fastenal Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM|BARCODE|CUSTOM|CUSTOM,ITEM,ABSENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,6
Fastop-Receipt,Fastop Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|PAYMENT|CUSTOM|PAYMENT,ITEM>TOTAL,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,4
FedEx-Office-Receipt,FedEx Office Receipt,MERCHANT_COPY,TOP,TOP,EQUALS,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|CUSTOM,NONE,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,5
Fenwick-Receipt,Fenwick Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|BARCODE|CUSTOM|CUSTOM,ITEM,ABSENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,6
Festival-Foods-Receipt,Festival Foods Receipt,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|CUSTOM|CUSTOM|CUSTOM|CUSTOM|BARCODE|CUSTOM,NONE,NO_ITEMS,MIDDLE,LEFT,CRUMPLED_1,CENTER,10
Finish-Line-Receipt,Finish Line Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|DATE|CUSTOM|CUSTOM|CUSTOM|BARCODE|CUSTOM,NONE,NO_ITEMS,MIDDLE,LEFT,CRUMPLED_1,CENTER,7
First-Watch-Receipt,First Watch Receipt,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|ITEMS|ITEMS|ITEMS|CUSTOM|CUSTOM,ITEM,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,6
Five-Below-Receipt,Five Below Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM|CUSTOM|CUSTOM|BARCODE|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL,ABSENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,7
Five-Guys-Receipt,Five Guys Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|CUSTOM|CUSTOM|ITEMS|ITEMS,ITEM,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,5
Flanigan's-Seafood-Bar-and-Grill-Receipt,Flanigan’s Seafood Bar and Grill Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,EMPTY,NONE,HEADER|ITEMS|PAYMENT|CUSTOM|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,5
Flunch-Receipt,Flunch Receipt,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|CUSTOM|ITEMS|ITEMS|CUSTOM|CUSTOM,ITEM,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,6
Food-4-Less-Receipt,Food 4 Less Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM,NONE,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,4
Food-Basics-Receipt,Food Basics Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|CUSTOM|ITEMS|ITEMS|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,6
Food-City-Receipt,Food City Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,2
Food-Delivery-Receipt,Food Delivery Receipt,MERCHANT_COPY,TOP,TOP,DOTS,NONE,NONE,HEADER|DATE|CUSTOM|CUSTOM|CUSTOM|ITEMS|PAYMENT|CUSTOM|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,BOTTOM,LEFT,CRUMPLED_1,CENTER,9
Food-Lion-Receipt,Food Lion Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|ITEMS|PAYMENT|DATE|BARCODE|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,6
Food-Plaza-Fresh-Market-PIK-Receipt,Food Plaza Fresh Market PIK Receipt,MERCHANT_COPY,TOP,NONE,DASHES,DASHES,NONE,HEADER|CUSTOM|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Food4Less-Receipt,Food4Less Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,EMPTY,NONE,HEADER|DATE|ITEMS|PAYMENT|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,NONE,LEFT,CRUMPLED_4,CENTER,5
FoodMaxx-Receipt,FoodMaxx Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|CUSTOM|CUSTOM|ITEMS|ITEMS|CUSTOM|ITEMS,ITEM>SUBTOTAL>TOTAL,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,7
Foot-Locker-Receipt,Foot Locker Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|ITEMS|ITEMS|CUSTOM,ITEM>TOTAL>TAX,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,6
Forever-21-Receipt,Forever 21 Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM,NONE,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,4
Foster's-Hollywood-Receipt,Foster's Hollywood Receipt,MERCHANT_COPY,TOP,NONE,DASHES,DASHES,NONE,HEADER|CUSTOM|ITEMS|ITEMS|ITEMS|CUSTOM|CUSTOM|CUSTOM,ITEM>SUBTOTAL>TOTAL,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,8
Four-Seasons-Siam-Paragon-Receipt,Four Seasons Siam Paragon Receipt,MERCHANT_COPY,TOP,NONE,DASHES,NONE,NONE,HEADER|CUSTOM|PAYMENT|PAYMENT|CUSTOM|PAYMENT,ITEM>SUBTOTAL>TAX>TENDER>TOTAL,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,6
